Creation Date,Status,Service Request Number,License Plate,Vehicle Make/Model,Vehicle Color,Ward
02/23/2020,Completed,20-00019719,UNKNOWN,Ford,Gray,30.0
03/01/2020,Completed,20-00022751,UNKNOWN,,Green,4.0
02/25/2020,Completed,20-00020785,UNKNOWN,Honda,Tan,14.0
01/19/2020,Completed,20-00007269,UNKNOWN,Honda,Green,30.0
01/24/2020,Completed,20-00009294,UNKNOWN,Trailer,Orange,27.0
01/07/2020,Completed,20-00003098,UNKNOWN,,White,34.0
01/27/2020,Completed,20-00010474,UNKNOWN,,Blue,18.0
01/19/2020,Completed,20-00007253,UNKNOWN,Volvo,Gray,15.0
01/09/2020,Completed,20-00003887,UNKNOWN,,White,46.0
01/18/2020,Completed,20-00007185,UNKNOWN,Chevrolet,Black,17.0
01/11/2020,Completed,20-00004471,UNKNOWN,Buick,Burgundy,7.0
03/06/2020,Completed,20-00025415,UNKNOWN,Chevrolet,Silver,23.0
03/22/2020,Completed,20-00030346,UNKNOWN,Chevrolet,White,38.0
03/06/2020,Completed,20-00025417,UNKNOWN,Pontiac,Blue,19.0
03/25/2020,Completed,20-00030841,UNKNOWN,Infiniti,Gray,18.0
01/13/2020,Completed,20-00004765,UNKNOWN,Ford,Green,16.0
02/13/2020,Completed,20-00017210,UNKNOWN,Buick,Silver,19.0
01/23/2020,Completed,20-00009100,UNKNOWN,Vespa,Red,42.0
03/27/2020,Completed,20-00030995,UNKNOWN,,Unknown,6.0
01/16/2020,Completed,20-00006463,UNKNOWN,Cadillac,Maroon,27.0
01/11/2020,Completed,20-00004444,UNKNOWN,Mercury,Burgundy,18.0
02/04/2020,Completed,20-00013819,UNKNOWN,Ford,Green,47.0
03/07/2020,Completed,20-00025527,UNKNOWN,Ford,Beige,19.0
02/18/2020,Completed,20-00018237,UNKNOWN,Dodge,White,18.0
01/20/2020,Completed,20-00007314,UNKNOWN,,Gold,21.0
03/23/2020,Completed,20-00030523,UNKNOWN,,Gray,6.0
01/13/2020,Completed,20-00004959,UNKNOWN,,Unknown,43.0
02/22/2020,Completed,20-00019649,UNKNOWN,Chevrolet,Blue,34.0
02/10/2020,Completed,20-00015306,UNKNOWN,Ford,Blue,7.0
01/16/2020,Completed,20-00006746,UNKNOWN,Chevrolet,Blue,6.0
02/23/2020,Completed,20-00019713,UNKNOWN,Nissan,Gray,24.0
02/12/2020,Completed,20-00016434,UNKNOWN,Motorized Bike,Beige,27.0
01/16/2020,Completed,20-00006326,UNKNOWN,Saturn,Black,34.0
01/17/2020,Completed,20-00007142,UNKNOWN,,Red,25.0
01/30/2020,Completed,20-00011922,UNKNOWN,Chevrolet,Gold,5.0
01/11/2020,Completed,20-00004445,UNKNOWN,GMC,White,18.0
01/25/2020,Completed,20-00009591,UNKNOWN,Chevrolet,White,34.0
03/04/2020,Completed,20-00024053,UNKNOWN,Ford,Gray,23.0
01/10/2020,Completed,20-00004097,UNKNOWN,Chevrolet,Brown,6.0
01/11/2020,Completed,20-00004488,UNKNOWN,,Blue,39.0
03/24/2020,Completed,20-00030658,UNKNOWN,Chrysler,White,9.0
03/27/2020,Completed,20-00030993,UNKNOWN,,Gray,6.0
01/14/2020,Completed,20-00005586,UNKNOWN,GMC,White,38.0
03/26/2020,Completed,20-00030911,UNKNOWN,Nissan,White,37.0
01/14/2020,Completed,20-00005589,UNKNOWN,,White,24.0
03/03/2020,Completed,20-00023937,UNKNOWN,,Unknown,2.0
03/05/2020,Completed,20-00024952,UNKNOWN,Ford,Gray,30.0
02/05/2020,Completed,20-00014248,UNKNOWN,Ford,Red,28.0
01/31/2020,Completed,20-00012105,UNKNOWN,Vespa,Red,42.0
03/31/2020,Completed,20-00031469,UNKNOWN,Pontiac,Gray,28.0
02/23/2020,Completed,20-00019711,UNKNOWN,,White,9.0
02/19/2020,Completed,20-00018581,UNKNOWN,Honda,Black,30.0
01/09/2020,Completed,20-00003998,UNKNOWN,Ford,Unknown,18.0
03/07/2020,Completed,20-00025610,UNKNOWN,,White,28.0
02/21/2020,Completed,20-00019324,UNKNOWN,Nissan,Black,18.0
01/03/2020,Completed,20-00001128,UNKNOWN,Buick,Cream,22.0
02/27/2020,Completed,20-00022230,UNKNOWN,Infiniti,Gray,29.0
01/04/2020,Completed,20-00001471,UNKNOWN,Toyota,Gray,38.0
02/13/2020,Completed,20-00016721,UNKNOWN,Jaguar,Black,1.0
03/18/2020,Completed,20-00029482,UNKNOWN,"U-Haul Co, Division Parkhurst Manufacturing Co.",White,27.0
01/14/2020,Completed,20-00005409,UNKNOWN,Ford,White,27.0
01/02/2020,Completed,20-00000282,UNKNOWN,Chevrolet,Black,30.0
01/25/2020,Completed,20-00009665,UNKNOWN,Dodge,Red,6.0
03/25/2020,Completed,20-00030712,UNKNOWN,,White,20.0
03/03/2020,Completed,20-00023368,UNKNOWN,Chevrolet,Gray,6.0
02/07/2020,Completed,20-00014727,UNKNOWN,,White,28.0
01/10/2020,Completed,20-00004313,UNKNOWN,Chevrolet,Black,12.0
01/12/2020,Completed,20-00004521,UNKNOWN,Nissan,Black,8.0
02/04/2020,Completed,20-00013421,UNKNOWN,Dodge,Black,23.0
02/20/2020,Completed,20-00019046,UNKNOWN,Oldsmobile,Blue,22.0
02/27/2020,Completed,20-00021946,UNKNOWN,Nissan,White,17.0
03/10/2020,Completed,20-00026678,UNKNOWN,Hyundai,Gray,24.0
03/18/2020,Completed,20-00029479,UNKNOWN,Harley-Davidson,Gray,32.0
03/04/2020,Open,20-00023957,UNKNOWN,Bmw,Black,18.0
